year,age,sex,people
2013,10,1,613900
2013,10,2,653913
2013,9,1,616441
2013,9,2,656745
2013,8,1,623920
2013,8,2,664387
2013,7,1,642859
2013,7,2,683347
2013,6,1,656340
2013,6,2,695105
2013,5,1,664517
2013,5,2,702797
2013,4,1,662182
2013,4,2,702012
2013,3,1,672081
2013,3,2,710192
2013,2,1,689077
2013,2,2,721664
2013,1,1,705263
2013,1,2,734211
2013,0,1,719105
2013,0,2,745857

2012,10,1,612031
2012,10,2,652278
2012,9,1,613900
2012,9,2,653913
2012,8,1,616441
2012,8,2,656745
2012,7,1,623920
2012,7,2,664387
2012,6,1,642859
2012,6,2,683347
2012,5,1,656340
2012,5,2,695105
2012,4,1,664517
2012,4,2,702797
2012,3,1,662182
2012,3,2,702012
2012,2,1,672081
2012,2,2,710192
2012,1,1,689077
2012,1,2,721664
2012,0,1,705263
2012,0,2,734211

2011,10,1,610043
2011,10,2,650554
2011,9,1,612031
2011,9,2,652278
2011,8,1,613900
2011,8,2,653913
2011,7,1,616441
2011,7,2,656745
2011,6,1,623920
2011,6,2,664387
2011,5,1,642859
2011,5,2,683347
2011,4,1,656340
2011,4,2,695105
2011,3,1,664517
2011,3,2,702797
2011,2,1,662182
2011,2,2,702011
2011,1,1,672081
2011,1,2,710192
2011,0,1,689077
2011,0,2,721664

2010,10,1,603034
2010,10,2,644900
2010,9,1,610043
2010,9,2,650554
2010,8,1,612031
2010,8,2,652278
2010,7,1,613900
2010,7,2,653913
2010,6,1,616441
2010,6,2,656745
2010,5,1,623920
2010,5,2,664387
2010,4,1,642859
2010,4,2,683347
2010,3,1,656340
2010,3,2,695105
2010,2,1,664517
2010,2,2,702797
2010,1,1,662182
2010,1,2,702010
2010,0,1,672081
2010,0,2,710192

2009,10,1,639551
2009,10,2,668692
2009,9,1,603034
2009,9,2,644900
2009,8,1,610043
2009,8,2,650554
2009,7,1,612031
2009,7,2,652278
2009,6,1,613900
2009,6,2,653913
2009,5,1,616441
2009,5,2,656745
2009,4,1,623920
2009,4,2,664387
2009,3,1,642859
2009,3,2,683347
2009,2,1,656340
2009,2,2,695105
2009,1,1,664517
2009,1,2,702797
2009,0,1,662182
2009,0,2,702009

2008,10,1,629845
2008,10,2,668692
2008,9,1,639551
2008,9,2,668692
2008,8,1,603034
2008,8,2,644900
2008,7,1,610043
2008,7,2,650554
2008,6,1,612031
2008,6,2,652278
2008,5,1,613900
2008,5,2,653913
2008,4,1,616441
2008,4,2,656745
2008,3,1,623920
