age,population,year
Altstadt - Lehel,18374,2000
Altstadt - Lehel,18462,2001
Altstadt - Lehel,18193,2002
Altstadt - Lehel,18159,2003
Altstadt - Lehel,18210,2004
Altstadt - Lehel,18631,2005
Altstadt - Lehel,18876,2006
Altstadt - Lehel,19228,2007
Altstadt - Lehel,19505,2008
Altstadt - Lehel,18932,2009
Altstadt - Lehel,19207,2010
Altstadt - Lehel,19707,2011
Altstadt - Lehel,20048,2012
Ludwigsvorstadt - Isarvorstadt,44451,2000
Ludwigsvorstadt - Isarvorstadt,44484,2001
Ludwigsvorstadt - Isarvorstadt,44059,2002
Ludwigsvorstadt - Isarvorstadt,43637,2003
Ludwigsvorstadt - Isarvorstadt,43469,2004
Ludwigsvorstadt - Isarvorstadt,43945,2005
Ludwigsvorstadt - Isarvorstadt,45736,2006
Ludwigsvorstadt - Isarvorstadt,46520,2007
Ludwigsvorstadt - Isarvorstadt,47599,2008
Ludwigsvorstadt - Isarvorstadt,46446,2009
Ludwigsvorstadt - Isarvorstadt,47357,2010
Ludwigsvorstadt - Isarvorstadt,48231,2011
Ludwigsvorstadt - Isarvorstadt,49657,2012
Maxvorstadt,41726,2000
Maxvorstadt,42159,2001
Maxvorstadt,41606,2002
Maxvorstadt,41502,2003
Maxvorstadt,41581,2004
Maxvorstadt,42201,2005
Maxvorstadt,46058,2006
Maxvorstadt,47711,2007
Maxvorstadt,48884,2008
Maxvorstadt,48619,2009
Maxvorstadt,48875,2010
Maxvorstadt,49498,2011
Maxvorstadt,50877,2012
Schwabing West,53789,2000
Schwabing West,54580,2001
Schwabing West,54272,2002
Schwabing West,54351,2003
Schwabing West,55231,2004
Schwabing West,56033,2005
Schwabing West,59553,2006
Schwabing West,61514,2007
Schwabing West,62541,2008
Schwabing West,62028,2009
Schwabing West,62856,2010
Schwabing West,63644,2011
Schwabing West,64768,2012
Au - Haidhausen,52028,2000
Au - Haidhausen,51947,2001
Au - Haidhausen,52000,2002
Au - Haidhausen,51636,2003
Au - Haidhausen,51383,2004
Au - Haidhausen,52502,2005
Au - Haidhausen,54382,2006
Au - Haidhausen,55288,2007
Au - Haidhausen,55853,2008
Au - Haidhausen,55590,2009
Au - Haidhausen,56322,2010
Au - Haidhausen,57297,2011
Au - Haidhausen,58881,2012
Sendling,34462,2000
Sendling,34820,2001
Sendling,35102,2002
Sendling,35113,2003
Sendling,35691,2004
Sendling,35966,2005
Sendling,37146,2006
Sendling,37940,2007
Sendling,38335,2008
Sendling,38112,2009
Sendling,38567,2010
Sendling,39002,2011
Sendling,39567,2012
Sendling - Westpark,48388,2000
Sendling - Westpark,48608,2001
Sendling - Westpark,48448,2002
Sendling - Westpark,48564,2003
Sendling - Westpark,48669,2004
Sendling - Westpark,49472,2005
Sendling - Westpark,50903,2006
Sendling - Westpark,51745,2007
Sendling - Westpark,52257,2008
Sendling - Westpark,52185,2009
Sendling - Westpark,52495,2010
Sendling - Westpark,53271,2011
Sendling - Westpark,54552,2012
Schwanthalerhöhe,24883,2000
Schwanthalerhöhe,24905,2001
Schwanthalerhöhe,25078,2002
Schwanthalerhöhe,25328,2003
Schwanthalerhöhe,25369,2004
Schwanthalerhöhe,25507,2005
Schwanthalerhöhe,26103,2006
Schwanthalerhöhe,26877,2007
Schwanthalerhöhe,27778,2008
Schwanthalerhöhe,27814,2009
Schwanthalerhöhe,28004,2010
Schwanthalerhöhe,28678,2011
Schwanthalerhöhe,29402,2012
Neuhausen - Nymphenburg,81968,2000
Neuhausen - Nymphenburg,82235,2001
Neuhausen - Nymphenburg,81947,2002
Neuhausen - Nymphenburg,81661,2003
Neuhausen - Nymphenburg,81921,2004
Neuhausen - Nymphenburg,82156,2005
Neuhausen - Nymphenburg,84604,2006
Neuhausen - Nymphenburg,85964,2007
Neuhausen - Nymphenburg,87043,2008
Neuhausen - Nymphenburg,87846,2009
Neuhausen - Nymphenburg,89286,2010
Neuhausen - Nymphenburg,92139,2011
Neuhausen - Nymphenburg,94257,2012
Moosach,45507,2000
Moosach,46174,2001
Moosach,46333,2002
Moosach,46546,2003
Moosach,46856,2004
Moosach,47198,2005
Moosach,47754,2006
Moosach,48306,2007
Moosach,48451,2008
Moosach,48692,2009
Moosach,48421,2010
Moosach,49384,2011
Moosach,50253,2012
Milbertshofen -  Am Hart,60225,2000
Milbertshofen -  Am Hart,61034,2001
Milbertshofen -  Am Hart,61655,2002
Milbertshofen -  Am Hart,61886,2003
Milbertshofen -  Am Hart,63076,2004
Milbertshofen -  Am Hart,64612,2005
Milbertshofen -  Am Hart,66992,2006
Milbertshofen -  Am Hart,67864,2007
Milbertshofen -  Am Hart,68198,2008
Milbertshofen -  Am Hart,68023,2009
Milbertshofen -  Am Hart,68970,2010
Milbertshofen -  Am Hart,70470,2011
Milbertshofen -  Am Hart,72506,2012
Schwabing -  Freimann,57653,2000
Schwabing -  Freimann,59392,2001
Schwabing -  Freimann,60060,2002
Schwabing -  Freimann,60215,2003
Schwabing -  Freimann,59602,2004
Schwabing -  Freimann,59767,2005
Schwabing -  Freimann,62430,2006
Schwabing -  Freimann,63832,2007
Schwabing -  Freimann,64350,2008
Schwabing -  Freimann,63720,2009
Schwabing -  Freimann,65158,2010
Schwabing -  Freimann,66706,2011
Schwabing -  Freimann,68530,2012
Bogenhausen,70984,2000
Bogenhausen,71716,2001
Bogenhausen,72429,2002
Bogenhausen,73070,2003
Bogenhausen,72982,2004
Bogenhausen,73860,2005
Bogenhausen,75657,2006
Bogenhausen,76709,2007
Bogenhausen,77112,2008
Bogenhausen,76684,2009
Bogenhausen,77542,2010
Bogenhausen,79175,2011
Bogenhausen,80816,2012
Berg am Laim,37017,2000
Berg am Laim,37544,2001
Berg am Laim,37769,2002
Berg am Laim,37607,2003
Berg am Laim,38127,2004
Berg am Laim,38327,2005
Berg am Laim,38995,2006
Berg am Laim,39783,2007
Berg am Laim,40038,2008
Berg am Laim,39787,2009
Berg am Laim,40550,2010
Berg am Laim,41342,2011
Berg am Laim,42310,2012
Trudering - Riem,43003,2000
Trudering - Riem,45403,2001
Trudering - Riem,47186,2002
Trudering - Riem,47919,2003
Trudering - Riem,48914,2004
Trudering - Riem,50990,2005
Trudering - Riem,53915,2006
Trudering - Riem,56487,2007
Trudering - Riem,59031,2008
Trudering - Riem,60879,2009
Trudering - Riem,62756,2010
Trudering - Riem,64983,2011
Trudering - Riem,65869,2012
Ramersdorf - Perlach,99995,2000
Ramersdorf - Perlach,100387,2001
Ramersdorf - Perlach,100129,2002
Ramersdorf - Perlach,100724,2003
Ramersdorf - Perlach,100844,2004
Ramersdorf - Perlach,101820,2005
Ramersdorf - Perlach,102689,2006
Ramersdorf - Perlach,103447,2007
Ramersdorf - Perlach,104089,2008
Ramersdorf - Perlach,103732,2009
Ramersdorf - Perlach,104737,2010
Ramersdorf - Perlach,105900,2011
Ramersdorf - Perlach,107164,2012
Obergiesing - Fasangarten,43974,2000
Obergiesing - Fasangarten,44143,2001
Obergiesing - Fasangarten,44616,2002
Obergiesing - Fasangarten,44761,2003
Obergiesing - Fasangarten,44473,2004
Obergiesing - Fasangarten,45132,2005
Obergiesing - Fasangarten,47007,2006
Obergiesing - Fasangarten,47791,2007
Obergiesing - Fasangarten,48282,2008
Obergiesing - Fasangarten,48425,2009
Obergiesing - Fasangarten,49030,2010
Obergiesing - Fasangarten,50656,2011
Obergiesing - Fasangarten,51183,2012
Untergiesing - Harlaching,46153,2000
Untergiesing - Harlaching,46580,2001
Untergiesing - Harlaching,46495,2002
