unemployed,population,year,age
411,18374,2000,Altstadt - Lehel
435,18462,2001,Altstadt - Lehel
571,18193,2002,Altstadt - Lehel
671,18159,2003,Altstadt - Lehel
624,18210,2004,Altstadt - Lehel
721,18631,2005,Altstadt - Lehel
525,18876,2006,Altstadt - Lehel
390,19228,2007,Altstadt - Lehel
348,19505,2008,Altstadt - Lehel
395,18932,2009,Altstadt - Lehel
365,19207,2010,Altstadt - Lehel
329,19707,2011,Altstadt - Lehel
304,20048,2012,Altstadt - Lehel
1589,44451,2000,Ludwigsvorstadt - Isarvorstadt
1533,44484,2001,Ludwigsvorstadt - Isarvorstadt
1960,44059,2002,Ludwigsvorstadt - Isarvorstadt
2209,43637,2003,Ludwigsvorstadt - Isarvorstadt
2038,43469,2004,Ludwigsvorstadt - Isarvorstadt
2459,43945,2005,Ludwigsvorstadt - Isarvorstadt
1946,45736,2006,Ludwigsvorstadt - Isarvorstadt
1564,46520,2007,Ludwigsvorstadt - Isarvorstadt
1369,47599,2008,Ludwigsvorstadt - Isarvorstadt
1531,46446,2009,Ludwigsvorstadt - Isarvorstadt
1464,47357,2010,Ludwigsvorstadt - Isarvorstadt
1292,48231,2011,Ludwigsvorstadt - Isarvorstadt
1258,49657,2012,Ludwigsvorstadt - Isarvorstadt
1161,41726,2000,Maxvorstadt
1143,42159,2001,Maxvorstadt
1520,41606,2002,Maxvorstadt
1777,41502,2003,Maxvorstadt
1591,41581,2004,Maxvorstadt
1751,42201,2005,Maxvorstadt
1580,46058,2006,Maxvorstadt
1397,47711,2007,Maxvorstadt
1175,48884,2008,Maxvorstadt
1292,48619,2009,Maxvorstadt
1203,48875,2010,Maxvorstadt
1084,49498,2011,Maxvorstadt
1048,50877,2012,Maxvorstadt
1314,53789,2000,Schwabing West
1332,54580,2001,Schwabing West
1690,54272,2002,Schwabing West
2001,54351,2003,Schwabing West
1871,55231,2004,Schwabing West
2181,56033,2005,Schwabing West
2001,59553,2006,Schwabing West
1620,61514,2007,Schwabing West
1369,62541,2008,Schwabing West
1580,62028,2009,Schwabing West
1364,62856,2010,Schwabing West
1211,63644,2011,Schwabing West
1184,64768,2012,Schwabing West
1411,52028,2000,Au - Haidhausen
1421,51947,2001,Au - Haidhausen
1901,52000,2002,Au - Haidhausen
2183,51636,2003,Au - Haidhausen
2037,51383,2004,Au - Haidhausen
2382,52502,2005,Au - Haidhausen
1955,54382,2006,Au - Haidhausen
1548,55288,2007,Au - Haidhausen
1334,55853,2008,Au - Haidhausen
1519,55590,2009,Au - Haidhausen
1425,56322,2010,Au - Haidhausen
1286,57297,2011,Au - Haidhausen
1251,58881,2012,Au - Haidhausen
984,34462,2000,Sendling
995,34820,2001,Sendling
1299,35102,2002,Sendling
